date;Quebec;Montreal;Gatineau;Sherbrooke
01/01/2012;896.7;788.3;831.0;748.3
01/02/2012;792.9;659.7;671.4;669.6
01/03/2012;583.0;462.8;460.3;510.3
01/04/2012;389.1;339.2;363.3;382.1
01/05/2012;161.4;89.9;101.6;146.2
01/06/2012;60.4;21.5;31.4;67.9
01/07/2012;10.4;0.7;0.0;14.3
01/08/2012;9.8;0.8;8.4;17.3
01/09/2012;139.9;92.5;127.3;154.2
01/10/2012;304.2;222.8;258.0;250.6
01/11/2012;564.3;524.2;541.7;526.8
01/12/2012;750.7;666.5;714.0;685.6
01/01/2013;921.0;808.2;839.9;789.6
01/02/2013;763.7;698.0;728.5;700.8
01/03/2013;609.3;576.2;613.3;625.8
01/04/2013;431.4;358.6;383.7;418.3
01/05/2013;178.2;106.5;122.0;157.5
01/06/2013;109.2;48.2;61.4;85.4
01/07/2013;13.0;4.1;7.7;16.7
01/08/2013;31.2;3.4;13.4;45.5
01/09/2013;150.5;99.2;133.2;152.2
01/10/2013;316.7;236.4;262.6;306.1
01/11/2013;566.2;514.1;560.8;544.5
01/12/2013;923.4;782.8;858.2;800.3
01/01/2014;946.3;873.9;918.3;827.4
01/02/2014;860.4;754.7;793.2;737.8
01/03/2014;887.8;748.8;783.6;654.7
01/04/2014;475.3;369.5;384.2;378.8
01/05/2014;192.4;118.9;127.3;182.1
01/06/2014;38.3;10.1;20.3;59.1
01/07/2014;9.4;2.9;8.8;20.2
01/08/2014;24.8;10.6;21.4;37.8
01/09/2014;148.0;97.6;110.3;152.2
01/10/2014;293.1;224.1;257.9;252.4
01/11/2014;561.6;484.0;510.6;521.7
01/12/2014;743.6;664.7;696.4;640.3
01/01/2015;1018.0;926.3;968.2;938.0
01/02/2015;999.8;929.3;957.8;780.5
01/03/2015;813.7;706.5;718.6;789.5
01/04/2015;461.7;351.6;352.6;448.9
01/05/2015;144.8;73.0;94.2;137.2
01/06/2015;92.0;40.1;45.2;95.3
01/07/2015;19.8;1.1;9.3;31.7
01/08/2015;9.6;0.9;5.6;16.4
01/09/2015;75.1;39.5;48.4;82.8
01/10/2015;403.3;315.5;337.3;379.5
01/11/2015;476.8;410.1;429.0;462.2
01/12/2015;566.9;485.8;498.2;474.5
