TS,ELT,QR,HR,XMAX,MEAN,duration_h,CF,,,,,,,,,,,,,,,,,,
FD,104,4,12.5,2154.464286,1033.232143,728,0.34,,,,,,,,,,,,,,,,,,
FN,104,4,12.5,0.414285714,0.015128571,910,0.00,,,,,,,,,,,,,,,,,,
FP1,104,4,7,957.4761905,321.9619048,273,0.11,,,wind,Solar ,,,,,,,,,,,,,,
FP2,104,4,18,978.5238095,264.7057143,273,0.09,,FD,0.42,0.34,,,,,,,,,,,,,,
RD,104,2,12.5,2456.285714,1131.428571,736,0.37,,FN,0.44,0.00,,,,,,,,,,,,,,
RN,104,2,12.5,0.542857143,0.024014286,920,0.00,,FP1,0.45,0.11,,,,,,,,,,,,,,
RP1,104,2,7,1085.142857,293.4828571,276,0.10,,FP2,0.36,0.09,,,,,,,,,,,,,,
RP2,104,2,18,1003.857143,302.7861905,276,0.10,,RD,0.33,0.37,,,,,,,,,,,,,,
SD,104,3,12.5,2355.946429,1358.446429,736,0.45,,RN,0.36,0.00,,,,,,,,,,,,,,
SN,104,3,12.5,40.37142857,10.08142857,920,0.00,,RP1,0.42,0.10,,,,,,,,,,,,,,
SP1,104,3,7,1271.047619,682.7,276,0.23,,RP2,0.31,0.10,,,,,,,,,,,,,,
SP2,104,3,18,1204.047619,657.0047619,276,0.22,,SD,0.31,0.45,,,,,,,,,,,,,,
WD,104,1,12.5,1495.053571,595.3982143,728,0.20,,SN,0.36,0.00,,,,,,,,,,,,,,
WN,104,1,12.5,0,0,910,0.00,,SP1,0.41,0.23,,,,,,,,,,,,,,
WP1,104,1,7,178.0952381,18.18995238,273,0.01,,SP2,0.29,0.22,,,,,,,,,,,,,,
WP2,104,1,18,157.952381,11.06285714,273,0.00,,WD,0.39,0.20,,,,,,,,,,,,,,
,,,,,,,,,WN,0.41,0.00,,,,,,,,,,,,,,
,,,,,,,,,WP1,0.42,0.01,,,,,,,,,,,,,,
,,,,,,,,,WP2,0.34,0.00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,FD,FN,FP1,FP2,RD,RN,RP1,RP2,SD,SN,SP1,SP2,WD,WN,WP1,WP2
,,,,,,,,,wind,0.42,0.44,0.45,0.36,0.33,0.36,0.42,0.31,0.31,0.36,0.41,0.29,0.39,0.41,0.42,0.34
,,,,,,,,,Solar ,0.34,0.00,0.11,0.09,0.37,0.00,0.10,0.10,0.45,0.00,0.23,0.22,0.20,0.00,0.01,0.00
